Name,Birth,Death,Nationality
Robert Abdesselam,1920,2006,France
José Acasuso,1982,–,Argentina
András Ádám-Stolpa,1921,2010,Hungary
Andre Agassi,1970,–,United States
Ronald Agénor,1964,–,Haiti
Juan Aguilera,1962,–,Spain
Karim Alami,1973,–,Morocco
Carlos Alcaraz,2003,–,Spain
Fred Alexander,1880,1969,United States
John Alexander,1951,–,Australia
Wilmer Allison,1904,1977,United States
Nicolás Almagro,1985,–,Spain
Manuel Alonso,1895,1984,Spain
Felicisimo Ampon,1920,1997,Philippines
Vijay Amritraj,1953,–,India
Mario Ančić,1984,–,Croatia
James Anderson,1894,1973,Australia
Kevin Anderson,1986,–,South Africa
Mal Anderson,1935,–,Australia
Igor Andreev,1983,–,Russia
John Andrews,1952,–,United States
Matt Anger,1963,–,United States
Paul Annacone,1963,–,United States
Hicham Arazi,1973,–,Morocco
Jimmy Arias,1964,–,United States
Jordi Arrese,1964,–,Spain
József Asbóth,1917,1986,Hungary
Arthur Ashe,1943,1993,United States
Félix Auger-Aliassime,2000,–,Canada
Bunny Austin,1906,2000,Great Britain
Luis Ayala,1932,–,Chile
Wilfred Baddeley,1872,1929,Great Britain
Marcos Baghdatis,1985,–,Cyprus
Corrado Barazzutti,1953,–,Italy
Herbert Roper Barrett,1873,1943,Great Britain
Pierre Barthès,1941,–,France
Nikoloz Basilashvili,1992,–,Georgia
Roberto Bautista Agut,1988,–,Spain
Alfred Beamish,1879,1944,Great Britain
Boris Becker,1967,–,West Germany/Germany
Karl Behr,1885,1949,United States
Mike Belkin,1945,–,Canada
Thomaz Bellucci,1987,–,Brazil
Eduardo Bengoechea,1959,–,Argentina
Julien Benneteau,1981,–,France
Alberto Berasategui,1973,–,Spain
Tomáš Berdych,1985,–,Czech Republic
Lennart Bergelin,1925,2008,Sweden
Jay Berger,1966,–,United States
Christian Bergström,1967,–,Sweden
Marcel Bernard,1914,1994,France
Matteo Berrettini,1996,–,Italy
Paolo Bertolucci,1951,–,Italy
Henry Billington,1909,1980,Great Britain
Jonas Björkman,1972,–,Sweden
Byron Black,1969,–,Zimbabwe
James Blake,1979,–,United States
Galo Blanco,1976,–,Spain
Arnaud Boetsch,1969,–,France
Björn Borg,1956,–,Sweden
Jean Borotra,1898,1994,France
Jeff Borowiak,1949,–,United States
William Bowrey,1943,–,Australia
Christian Boussus,1908,2003,France
Jacques Brichant,1930,2011,Belgium
Godfrey Brinley,1864,1939,United States
John Bromwich,1918,1999,Australia
Norman Brookes,1877,1968,Australia
Geoff Brown,1924,2001,Great Britain
Tom Brown,1922,2011,United States
Sergi Bruguera,1971,–,Spain
Alexander Bublik,1997,–,Kazakhstan
Butch Buchholz,1940,–,United States
Don Budge,1915,2000,United States
Darren Cahill,1965,–,Australia
Oliver Campbell,1871,1953,United States
Agustín Calleri,1976,–,Argentina
Omar Camporese,1968,–,Italy
Francesco Cancellotti,1963,–,Italy
Guillermo Cañas,1977,–,Argentina
Cristiano Caratti,1970,–,Italy
Kent Carlsson,1968,–,Sweden
Pablo Carreño Busta,1991,–,Spain
Ross Case,1951,–,Australia
Pat Cash,1965,–,Australia
Marco Cecchinato,1992,–,Italy
František Cejnar,1917,1965,Czechoslovakia
Francisco Cerundolo,1998,–,Argentina
Malcolm Chace,1875,1955,United States
Thierry Champion,1966,–,France
Michael Chang,1972,–,United States
Jérémy Chardy,1987,–,France
Juan Ignacio Chela,1979,–,Argentina
Andrei Cherkasov,1970,–,Soviet Union/Russia
Andrei Chesnokov,1966,–,Soviet Union/Russia
Herbert Chipp,1850,1903,Great Britain
Marin Čilić,1988,–,Croatia
Francisco Clavet,1968,–,Spain
Arnaud Clément,1977,–,France
José Luis Clerc,1958,–,Argentina
William Clothier,1881,1962,United States
Henri Cochet,1901,1987,France
Jimmy Connors,1952,–,United States
Elwood Cooke,1913,2004,United States
Ashley Cooper,1936,2020,Australia
John Cooper,1946,–,Australia
Patricio Cornejo,1944,–,Chile
Guillermo Coria,1982,–,Argentina
Borna Ćorić,1996,–,Croatia
Àlex Corretja,1974,–,Spain
Albert Costa,1975,–,Spain
Carlos Costa,1968,–,Spain
Jim Courier,1970,–,United States
Mark Cox,1943,–,Great Britain
Gottfried von Cramm,1909,1976,/ Germany
Jack Crawford,1908,1991,Australia
Dick Crealy,1944,–,Australia
Gianni Cucelli,1916,1977,Italy
Pablo Cuevas,1986,–,Uruguay
Kevin Curren,1958,–,South Africa/United States
Alejandro Davidovich Fokina,1999,–,Spain
Sven Davidson,1928,2008,Sweden
Dwight Davis,1879,1945,United States
Scott Davis,1962,–,United States
Franco Davín,1970,–,Argentina
Nikolay Davydenko,1981,–,Russia
Max Decugis,1882,1978,France
Juan Martín del Potro,1988,–,Argentina
Alex de Minaur,1999,–,Australia
Phil Dent,1950,–,Australia
Taylor Dent,1981,–,United States
Steve Denton,1956,–,United States
Bernard Destremau,1917,2002,France
Filip Dewulf,1972,–,Belgium
Colin Dibley,1944,–,Australia
Eddie Dibbs,1951,–,United States
Mark Dickson,1959,–,United States
Keith Diepraam,1942,–,South Africa
Grigor Dimitrov,1991,–,Bulgaria
Charles P. Dixon,1873,1939,Great Britain
Arnaud Di Pasquale,1979,–,France
Novak Djokovic,1987,–,Serbia
John Doeg,1908,1978,United States
Laurence Doherty,1875,1919,Great Britain
Reginald Doherty,1872,1910,Great Britain
Alexandr Dolgopolov,1988,–,Ukraine
Irvin Dorfman,1926,2006,United States
Sláva Doseděl,1970,–,Czech Republic
Stanley Doust,1879,1961,Australia
Hendrik Dreekmann,1975,–,West Germany
Brad Drewett,1958,2013,Australia
Jaroslav Drobný,1921,2001,/Czechoslovakia/Egypt
Cliff Drysdale,1941,–,South Africa
Robin Drysdale,1952,–,Great Britain
Pat DuPré,1954,–,United States
James Dwight,1852,1917,United States
Wilberforce Eaves,1867,1920,Great Britain
Stefan Edberg,1966,–,Sweden
Mark Edmondson,1954,–,Australia
Kyle Edmund,1995,–,Great Britain
Younes El Aynaoui,1971,–,Morocco
Ismail El Shafei,1947,–,Egypt
Jacco Eltingh,1970,–,Netherlands
Roy Emerson,1936,–,Australia
Thomas Enqvist,1974,–,Sweden
Nicolas Escudé,1976,–,France
Lestocq Robert Erskine,1857,1916,Great Britain
Tomas Martin Etcheverry,1999,–,Argentina
Christopher Eubanks,1996,–,United States
Dan Evans,1990,–,Great Britain
Kelly Evernden,1961,–,New Zealand
Brian Fairlie,1948,–,New Zealand
Robert Falkenburg,1926,–,United States
Roger Federer,1981,–,Switzerland
Peter Feigl,1951,–,Austria
Wayne Ferreira,1971,–,/ South Africa
David Ferrer,1982,–,Spain
Juan Carlos Ferrero,1980,–,Spain
Wojtek Fibak,1952,–,Poland
Marcelo Filippini,1967,–,Uruguay
Jaime Fillol,1946,–,Chile
Mardy Fish,1981,–,United States
John Fitzgerald,1960,–,Australia
Herbie Flam,1928,1980,United States
Peter Fleming,1955,–,United States
Fabio Fognini,1987,–,Italy
Gordon Forbes,1934,2020,South Africa
Guy Forget,1965,–,France
Željko Franulović,1947,–,Yugoslavia
Neale Fraser,1933,–,Australia
Rod Frawley,1952,–,Australia
Taylor Fritz,1997,–,United States
Frank Froehling,1942,2020,United States
Otto Froitzheim,1884,1962,Germany
Richard Fromberg,1970,–,Australia
Renzo Furlan,1970,–,Italy
Jan-Michael Gambill,1977,–,United States
Guillermo García López,1983,–,Spain
Cristian Garín,1996,–,Chile
Chuck Garland,1898,1971,United States
Richard Gasquet,1986,–,France
Andrea Gaudenzi,1973,–,Italy
Gastón Gaudio,1978,–,Argentina
Vitas Gerulaitis,1954,1994,United States
Sam Giammalva,1934,–,United States
Sammy Giammalva Jr.,1963,–,United States
Bob Giltinan,1949,–,Australia
Robby Ginepri,1982,–,United States
Andrés Gimeno,1938,2019,Spain
Juan Gisbert Sr.,1942,–,/ Spain
Drew Gitlin,1958,–,United States
Brad Gilbert,1961,–,United States
Hans Gildemeister,1956,–,Chile
Shlomo Glickstein,1958,–,Israel
William Glyn,1860,1939,United States
André Gobert,1890,1951,France
David Goffin,1990,–,Belgium
Dan Goldie,1963,–,United States
Jérôme Golmard,1973,2017,France
Andrés Gómez,1960,–,Ecuador
Pancho Gonzales,1928,1995,United States
Fernando González,1980,–,Chile
Vere St. Leger Goold,1853,1909,Ireland
Arthur Gore,1868,1928,Great Britain
Spencer Gore,1850,1906,Great Britain
Tom Gorman,1946,–,United States
Brian Gottfried,1952,–,United States
Georges Goven,1948,–,France
Clark Graebner,1943,–,United States
Bryan Grant,1910,1986,United States
Colin Gregory,1903,1959,Great Britain
Seymour Greenberg,1920,2006,United States
Charles Walder Grinstead,1860,1930,Great Britain
Sébastien Grosjean,1978,–,France
Ernests Gulbis,1988,–,Latvia
Tim Gullikson,1951,1996,United States
Tom Gullikson,1951,–,United States
István Gulyás,1931,2000,Hungary
Jan Gunnarsson,1962,–,Sweden
Heinz Günthardt,1959,–,Switzerland
Magnus Gustafsson,1967,–,Sweden
Paul Haarhuis,1966,–,Netherlands
Tommy Haas,1978,–,Germany
Harold Hackett,1878,1937,United States
Frank Hadow,1855,1946,Great Britain
Edward L. Hall,1872,1932,United States
Valentine Hall,1867,1934,United States
Willoughby Hamilton,1864,1943,Ireland
Victor Hănescu,1981,–,Romania
Charles Hare,1915,1996,Great Britain
Rodney Harmon,1961,–,United States
John Hartley,1849,1935,Great Britain
John Hawkes,1899,1990,Australia
Charles Heathcote,1841,1915,Great Britain
Henner Henkel,1915,1943,/ Germany
Tim Henman,1974,–,Great Britain
John Hennessey,1900,1981,United States
Bob Hewitt,1940,–,Australia/ South Africa
Lleyton Hewitt,1981,–,Australia
José Higueras,1953,–,Spain
Jakob Hlasek,1964,–,Switzerland
Lew Hoad,1934,1994,Australia
Clarence Hobart,1870,1930,United States
Henrik Holm,1968,–,Sweden
Ronald Holmberg,1938,–,United States
Greg Holmes,1963,–,United States
Chip Hooper,1958,–,United States
Harry Hopman,1906,1985,Australia
Fred Hovey,1868,1945,United States
Dominik Hrbatý,1978,–,Slovakia
Jiří Hřebec,1950,–,Czechoslovakia
Pat Hughes,1902,1997,Great Britain
Ugo Humbert,1998,–,France
Joe Hunt,1919,1945,United States
Frank Hunter,1894,1981,United States
Hubert Hurkacz,1997,–,Poland
John Isner,1985,–,United States
Goran Ivanišević,1971,–,Yugoslavia /  Croatia
Sydney Jacob,1879,1977,India
Martín Jaite,1964,–,Argentina
Jerzy Janowicz,1990,–,Poland
François Jauffret,1942,–,France
Nicolas Jarry,1995,–,Chile
Anders Järryd,1961,–,Sweden
Joachim Johansson,1982,–,Sweden
Thomas Johansson,1975,–,Sweden
Steve Johnson,1989,–,United States
Bill Johnston,1894,1946,United States
Boro Jovanović,1939,–,Yugoslavia
Yevgeny Kafelnikov,1974,–,Russia
Aslan Karatsev,1993,–,Russia
Bernd Karbacher,1968,–,West Germany
Ivo Karlović,1979,–,Croatia
Béla von Kehrling,1891,1937,Hungary
Karen Khachanov,1996,–,Russia
Nicolas Kiefer,1977,–,Germany
Howard Kinsey,1899,1966,United States
Algernon Kingscote,1888,1964,Great Britain
Vernon Kirby,1911,1994,South Africa
Martin Kližan,1989,–,Slovakia
Percy Knapp,1863,1917,United States
Billy Knight,1935,–,Great Britain
Thomaz Koch,1945,–,Brazil
Jan Kodeš,1946,–,Czechoslovakia
Philipp Kohlschreiber,1983,–,Germany
Petr Korda,1968,–,Czechoslovakia /  Czech Republic
Sebastian Korda,2000,–,United States
Stefan Koubek,1977,–,Austria
Jan Koželuh,1904,1979,Czechoslovakia
Karel Koželuh,1895,1950,Czechoslovakia
Richard Krajicek,1971,–,Netherlands
Jack Kramer,1921,2009,United States
Oscar Kreuzer,1887,1968,Germany
Aaron Krickstein,1967,–,United States
Johan Kriek,1958,–,South Africa / United States
Ramanathan Krishnan,1937,–,India
Ramesh Krishnan,1961,–,India
Paul Kronk,1954,–,Australia
Łukasz Kubot,1982,–,Poland
Gustavo Kuerten,1976,–,Brazil
Karol Kučera,1974,–,Slovakia
Patrik Kühnen,1966,–,Germany
Nicklas Kulti,1971,–,Sweden
Ichiya Kumagae,1890,1968,Japan
Nick Kyrgios,1995,–,Australia
René Lacoste,1904,1996,France
Dušan Lajović,1990,–,Serbia
Nicolás Lapentti,1976,–,Ecuador
William Larned,1872,1926,United States
Art Larsen,1925,2012,United States
Magnus Larsson,1970,–,Sweden
Rod Laver,1938,–,Australia
Herbert Lawford,1851,1925,Great Britain
Henri Leconte,1963,–,France
Harry Lee,1907,1998,Great Britain
Jiří Lehečka,2001,–,Czech Republic
Ivan Lendl,1960,–,Czechoslovakia/United States
Ernest Lewis,1867,1930,Great Britain
Chris Lewis,1957,–,New Zealand
Ivan Ljubičić,1979,–,Croatia
Michaël Llodra,1980,–,France
John Lloyd,1954,–,Great Britain
Feliciano López,1981,–,Spain
George Lott,1906,1991,United States
Gordon Lowe,1884,1972,Great Britain
Yen-hsun Lu,1983,–,Chinese Taipei
Peter Lundgren,1965,–,Sweden
Jan-Erik Lundqvist,1937,–,Sweden
Bob Lutz,1949,–,United States
Randolph Lycett,1886,1935,Great Britain
George Lyttleton Rogers,1906,1963,Great Britain
Barry MacKay,1935,2012,United States
Harold Mahony,1867,1905,Great Britain
Gene Mako,1916,2013,United States
Xavier Malisse,1980,–,Belgium
Boris Maneff,1916,1960,Switzerland
Amos Mansdorf,1965,–,Israel
Alberto Mancini,1969,–,Argentina
Gregory Mangin,1907,1978,United States
Adrian Mannarino,1988,–,France
Bruce Manson,1956,–,United States
Félix Mantilla,1974,–,Spain
John Marks,1952,–,Australia
William Marshall,1849,1921,Great Britain
Billy Martin,1956,–,United States
Todd Martin,1970,–,United States
Nicolás Massú,1979,–,Chile
Geoff Masters,1950,–,Australia
Wally Masur,1963,–,Australia
Paul-Henri Mathieu,1982,–,France
Shuzo Matsuoka,1967,–,Japan
Andreas Maurer,1958,–,West Germany
Theodore Mavrogordato,1883,1941,Great Britain
Florian Mayer,1983,–,Germany
Gene Mayer,1956,–,United States
Leonardo Mayer,1987,–,Argentina
Sandy Mayer,1952,–,United States
Tim Mayotte,1960,–,United States
John McEnroe,1959,–,United States
Patrick McEnroe,1966,–,United States
Vivian McGrath,1916,1978,Australia
Ken McGregor,1929,2007,Australia
Chuck McKinley,1941,1986,United States
Maurice McLoughlin,1890,1957,United States
Peter McNamara,1955,2019,Australia
Paul McNamee,1954,–,Australia
Don McNeill,1918,1996,United States
Frew McMillan,1942,–,South Africa
Miloslav Mečíř,1964,–,Czechoslovakia
Andrei Medvedev,1974,–,Soviet Union /  Ukraine
Daniil Medvedev,1996,–,Russia
Ernest George Meers,1848,1928,Great Britain
Karl Meiler,1949,2014,West Germany
Fernando Meligeni,1971,–,Brazil
Jürgen Melzer,1981,–,Austria
Roderich Menzel,1907,1987,Czechoslovakia
Giuseppe Merlo,1927,2019,Italy
Alex Metreveli,1944,–,Soviet Union
Max Mirnyi,1977,–,Belarus
Dragutin Mitić,1917,1986,Yugoslavia
Juan Mónaco,1984,–,Argentina
Gaël Monfils,1986,–,France
Albert Montañés,1980,–,Spain
Edgar Moon,1904,1976,Australia
Raymond Moore,1946,–,South Africa
Enrique Morea,1920,2006,Argentina
Umberto De Morpurgo,1896,1961,Italy
Buster Mottram,1955,–,Great Britain
Carlos Moyá,1976,–,Spain
Marty Mulligan,1940,–,Australia
Gardnar Mulloy,1913,2016,United States
Gilles Müller,1983,–,Luxembourg
Andy Murray,1987,–,Great Britain
Robert Murray,1892,1970,United States
Lorenzo Musetti,2002,–,Italy
Thomas Muster,1967,–,Austria
Rafael Nadal,1986,–,Spain
David Nalbandian,1982,–,Argentina
Ilie Năstase,1946,–,Romania
Carr Neel,1873,1949,United States
John Newcombe,1944,–,Australia
Kurt Nielsen,1930,2011,Denmark
Jarkko Nieminen,1981,–,Finland
Nathaniel Niles,1886,1932,United States
Harold Nisbet,1873,1937,Great Britain
Kei Nishikori,1989,–,Japan
Yoshihito Nishioka,1995,–,Japan
Yannick Noah,1960,–,France
Magnus Norman,1976,–,Sweden
Cameron Norrie,1996,–,Great Britain
Brian Norton,1899,1956,South Africa
Karel Nováček,1965,–,Czechoslovakia /  Czech Republic
Jiří Novák,1975,–,Czech Republic
Hans Nüsslein,1910,1991,/  Germany
Joakim Nyström,1963,–,Sweden
Tom Okker,1944,–,Netherlands
Alex Olmedo,1936,2020,Peru / United States
Reilly Opelka,1997,–,United States
Manuel Orantes,1949,–,/Spain
Jim Osborne,1945,–,United States
Rafael Osuna,1938,1969,Mexico
Dinny Pails,1921,1986,Australia
Benoît Paire,1989,–,France
Josip Palada,1912,1994,Yugoslavia
Antonio Palafox,1936,–,Mexico
Adriano Panatta,1950,–,Italy
Jahial Parmly Paret,1870,1952,United States
James Cecil Parke,1881,1946,Great Britain
Frank Parker,1916,1997,United States
Cecil Parr,1847,1928,Great Britain
Onny Parun,1947,–,New Zealand
Charlie Pasarell,1944,–,United States
David Pate,1962,–,United States
Gerald Patterson,1895,1967,Australia
Andrew Pattison,1949,–,Rhodesia
Budge Patty,1924,2021,United States
Tommy Paul,1997,–,United States
Andrei Pavel,1974,–,Romania
Víctor Pecci,1955,–,Paraguay
Theodore Pell,1879,1967,United States
Guido Pella,1990,–,Argentina
Pierre Pellizza,1917,1974,France
Guillermo Pérez Roldán,1969,–,Argentina
Mikael Pernfors,1963,–,Sweden
Fred Perry,1909,1995,Great Britain
Yvon Petra,1916,1984,France
Hank Pfister,1953,–,United States
Mark Philippoussis,1976,–,Australia
Barry Phillips-Moore,1937,–,Australia
Nicola Pietrangeli,1933,–,Italy
Nikola Pilić,1939,–,Yugoslavia
Joshua Pim,1869,1942,Ireland
Libor Pimek,1963,–,Czechoslovakia
Ulrich Pinner,1954,–,West Germany
Cédric Pioline,1969,–,France
Hans-Jürgen Pohmann,1947,–,West Germany
Alexander Popp,1976,–,Germany
Vasek Pospisil,1990,–,Canada
Lucas Pouille,1994,–,France
Goran Prpić,1964,–,Croatia
Patrick Proisy,1949,–,France
Mariano Puerta,1978,–,Argentina
Franjo Punčec,1913,1985,Yugoslavia
Mel Purcell,1959,–,United States
Sam Querrey,1987,–,United States
Adrian Quist,1913,1991,Australia
Patrick Rafter,1972,–,Australia
Dennis Ralston,1942,2020,United States
Raúl Ramírez,1953,–,Mexico
Albert Ramos Viñolas,1988,–,Spain
Milos Raonic,1990,–,Canada
Louis Raymond,1895,1962,South Africa
Richey Reneberg,1965,–,United States
Peter Rennert,1958,–,United States
Ernest Renshaw,1861,1899,Great Britain
William Renshaw,1861,1904,Great Britain
George E. Richards,c.1921,1992,United States
Vinnie Richards,1903,1959,United States
Cliff Richey,1946,–,United States
Bobby Riggs,1918,1995,United States
Marty Riessen,1941,–,United States
Marcelo Ríos,1975,–,Chile
Frank Riseley,1877,1959,Great Britain
Major Ritchie,1870,1955,Great Britain
Tommy Robredo,1982,–,Spain
Tony Roche,1945,–,Australia
Olivier Rochus,1981,–,Belgium
Andy Roddick,1982,–,United States
Christophe Roger-Vasselin,1957,–,France
Mervyn Rose,1930,2017,Australia
Ken Rosewall,1934,–,Australia
Marc Rosset,1970,–,Switzerland
Derrick Rostagno,1965,–,United States
Andrey Rublev,1997,–,Russia
Ray Ruffels,1946,–,Australia
Holger Rune,2003,–,Denmark
Greg Rusedski,1973,–,Great Britain
Alejo Russell,1916,1977,Argentina
Casper Ruud,1998,–,Norway
André Sá,1978,–,Brazil
John Sadri,1956,–,United States
Marat Safin,1980,–,Russia
Roman Safiullin,1997,–,Russia
Pete Sampras,1971,–,United States
Emilio Sánchez,1965,–,Spain
Javier Sánchez,1968,–,Spain
Tennys Sandgren,1991,–,United States
Manuel Santana,1938,2021,Spain
Fabrice Santoro,1972,–,France
Jiro Sato,1908,1934,Japan
Dick Savitt,1927,–,United States
Bill Scanlon,1956,2021,United States
Sjeng Schalken,1976,–,Netherlands
Michiel Schapers,1959,–,Netherlands
Richard Schlesinger,1900,1968,Australia
Ted Schroeder,1921,2006,United States
Rainer Schüttler,1976,–,Germany
Diego Schwartzman,1992,–,Argentina
Richard Sears,1861,1943,United States
Frank Sedgman,1927,–,Australia
Abe Segal,1930,2016,South Africa
Pancho Segura,1921,2017,United States
Vic Seixas,1923,–,United States
Andreas Seppi,1984,–,Italy
Denis Shapovalov,1999,–,Canada
Quincy Shaw,1869,1960,United States
Ben Shelton,2002,–,United States
Frank Shields,1909,1975,United States
Zenzo Shimizu,1891,1977,Japan
Bill Sidwell,1920,2021,Australia
Jan Siemerink,1970,–,Netherlands
Gilles Simon,1984,–,France
Jannik Sinner,2001,–,Italy
Orlando Sirola,1928,1995,Italy
Dick Skeen,1906,1994,United States
Horst Skoff,1968,2008,Austria
Henry Slocum,1862,1949,United States
Pavel Složil,1955,–,Czechoslovakia
Tomáš Šmíd,1956,–,Czechoslovakia
Stan Smith,1946,–,United States
Sydney Howard Smith,1872,1947,Great Britain
Jack Sock,1992,–,United States
Robin Söderling,1984,–,Sweden
Harold Solomon,1952,–,United States
Lorenzo Sonego,1995,–,Italy
Vince Spadea,1974,–,United States
Pat Spence,1872,1947,South Africa
Franco Squillari,1975,–,Argentina
Milan Šrejber,1963,–,Czechoslovakia
Paradorn Srichaphan,1979,–,Thailand
Carl-Uwe Steeb,1967,–,West Germany/
Giorgio de Stefani,1904,1992,Italy
Ulf Stenlund,1967,–,Sweden
Radek Štěpánek,1978,–,Czech Republic
Brett Steven,1969,–,New Zealand
Michael Stich,1968,–,Germany
Dick Stockton,1951,–,United States
Les Stoefen,1911,1970,United States
Fred Stolle,1938,–,Australia
Jason Stoltenberg,1970,–,Australia
Allan Stone,1945,–,Australia
Jan-Lennard Struff,1990,–,Germany
Eric Sturgess,1920,2004,South Africa
Henrik Sundström,1964,–,Sweden
Jonas Svensson,1966,–,Sweden
Ottó Szigeti,1911,1976,Hungary
Bill Talbert,1918,1999,United States
Roscoe Tanner,1951,–,United States
Balázs Taróczy,1954,–,Hungary
Howard Taylor,1865,1920,United States
Roger Taylor,1941,–,Great Britain
Brian Teacher,1954,–,United States
Eliot Teltscher,1959,–,United States
Ben Testerman,1962,–,United States
Dominic Thiem,1993,–,Austria
Frances Tiafoe,1998,–,United States
Bill Tilden,1893,1953,United States
Mikael Tillström,1972,–,Sweden
Henk Timmer,1904,1998,Netherlands
Janko Tipsarević,1984,–,Serbia
Ion Țiriac,1939,–,Romania
Ignacy Tłoczyński,1911,2000,Poland
Bernard Tomic,1992,–,Australia
Tony Trabert,1930,2021,United States
Viktor Troicki,1986,–,Serbia
Stefanos Tsitsipas,1998,–,Greece
Jo-Wilfried Tsonga,1985,–,France
Thierry Tulasne,1963,–,France
Dmitry Tursunov,1982,–,Russia
Robert Van't Hof,1959,–,United States
Fernando Verdasco,1983,–,Spain
Martin Verkerk,1978,–,Netherlands
Ian Vermaak,1933,–,South Africa
Armando Vieira,1925,–,Brazil
Guillermo Vilas,1952,–,Argentina
Ellsworth Vines,1911,1994,United States
Adrian Voinea,1974,–,Romania
Filippo Volandri,1981,–,Italy
Alexander Volkov,1967,2019,Russia
Butch Walts,1955,–,United States
Holcombe Ward,1878,1961,United States
Leo Ware,1876,1914,United States
Kim Warwick,1952,–,Australia
Philippe Washer,1924,2015,Belgium
MaliVai Washington,1969,–,United States
Stan Wawrinka,1985,–,Switzerland
David Wheaton,1969,–,United States
Malcolm Whitman,1877,1932,United States
Mats Wilander,1964,–,Sweden
Tony Wilding,1883,1915,New Zealand
R. Norris Williams,1891,1968,United States
Tim Wilkison,1959,–,United States
Bobby Wilson,1935,2020,Great Britain
Todd Witsken,1963,1998,United States
Sidney Wood,1911,2009,United States
Todd Woodbridge,1971,–,Australia
Mark Woodforde,1965,–,Australia
Chris Woodruff,1973,–,United States
Robert Wrenn,1873,1925,United States
George Wrenn,1865,1948,United States
Beals Wright,1879,1925,United States
Mikhail Youzhny,1982,–,Russia
Jaime Yzaga,1967,–,Peru
Mariano Zabaleta,1978,–,Argentina
Vladimír Zedník,1947,–,Czechoslovakia
Slobodan Živojinović,1963,–,Yugoslavia
Alexander Zverev,1997,–,Germany
Mischa Zverev,1987,–,Germany
